City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
291,Doha,QA,2020-07-06 19:47:30,25.29,51.53,96.01,70,0,3.36
292,Sinnamary,GF,2020-07-06 19:47:30,5.38,-52.95,81.97,82,2,10.38
293,Guiyang,CN,2020-07-06 19:47:30,26.58,106.72,77.0,78,90,13.42
294,Carangola,BR,2020-07-06 19:47:31,-20.73,-42.03,70.29,73,0,2.24
295,Maniitsoq,GL,2020-07-06 19:47:31,65.42,-52.9,41.59,93,100,31.09
296,Kedrovyy,RU,2020-07-06 19:47:31,56.17,91.82,57.2,93,0,2.77
297,Palembang,ID,2020-07-06 19:47:31,-2.92,104.75,73.65,97,76,3.24
298,Ambilobe,MG,2020-07-06 19:47:31,-13.2,49.05,72.52,81,91,1.9
299,Daloa,CI,2020-07-06 19:47:32,6.88,-6.45,73.6,85,1,2.77
300,Najran,SA,2020-07-06 19:45:03,17.49,44.13,89.6,19,100,8.23
301,Samarai,PG,2020-07-06 19:47:32,-10.62,150.67,77.2,84,83,20.4
302,Caravelas,BR,2020-07-06 19:45:29,-17.71,-39.25,73.69,76,81,4.81
303,Valparaiso,CL,2020-07-06 19:44:20,-33.04,-71.63,57.2,58,100,6.93
304,Razole,IN,2020-07-06 19:47:33,16.48,81.83,78.89,86,100,2.15
